borrower_id,age,annual_income_eur,loan_amount_eur,loan_type,lti_ratio,ltv_ratio,tenure_years,rate_type,employment_sector,credit_score,probability_of_default,risk_grade,monthly_repayment_eur,dti_monthly_ratio,ecb_shock_monthly_eur,affordability_stress
1,26,41857,202017,Credit Card,4.83,0.808,7,Fixed,Employed,820,0.151,D – Substandard,1704,0.489,0,Stressed
2,57,40441,357211,Car Finance,8.83,0.891,19,Tracker,Employed,685,0.2001,E – Doubtful,3014,0.894,1339,Stressed
3,52,67708,335534,Personal Loan,4.96,0.535,11,Fixed,Employed,570,0.2235,E – Doubtful,2831,0.502,0,Stressed
4,42,69149,180639,Mortgage,2.61,0.553,7,Fixed,Employed,809,0.0209,B – Near Prime,1524,0.264,0,Comfortable
5,41,39154,49751,Mortgage,1.27,0.74,4,Variable,Public Sector,833,0.0269,B – Near Prime,419,0.128,74,Comfortable
6,61,41384,97912,Mortgage,2.37,0.872,25,Variable,Retired,524,0.0621,C – Standard,826,0.24,146,Comfortable
7,25,61529,273712,Car Finance,4.45,0.489,22,Fixed,Employed,478,0.182,D – Substandard,2309,0.45,0,Stressed
8,54,34627,76677,Personal Loan,2.21,0.875,6,Fixed,Employed,466,0.097,C – Standard,647,0.224,0,Comfortable
9,31,41256,150289,Car Finance,3.64,0.622,20,Fixed,Employed,814,0.072,C – Standard,1268,0.369,0,Stretched
10,26,50900,216677,Mortgage,4.26,0.653,31,Fixed,Employed,384,0.1276,D – Substandard,1828,0.431,0,Stressed
11,46,74480,403634,Credit Card,5.42,0.62,28,Fixed,Employed,301,0.2005,E – Doubtful,3406,0.549,0,Stressed
12,66,38027,131103,Credit Card,3.45,0.906,16,Fixed,Retired,575,0.1435,D – Substandard,1106,0.349,0,Stretched
13,55,22611,126257,Personal Loan,5.58,0.515,2,Tracker,Employed,823,0.2152,E – Doubtful,1065,0.565,473,Stressed
14,57,21917,174757,Car Finance,7.97,0.737,22,Fixed,Employed,479,0.1805,D – Substandard,1474,0.807,0,Stressed
15,55,28884,218163,Mortgage,7.55,0.524,18,Fixed,Self-Employed,577,0.2137,E – Doubtful,1840,0.764,0,Stressed
16,58,28239,165241,Mortgage,5.85,0.914,32,Fixed,Employed,359,0.1701,D – Substandard,1394,0.592,0,Stressed
17,45,45938,320326,Mortgage,6.97,0.849,19,Fixed,Retired,751,0.1072,D – Substandard,2703,0.706,0,Stressed
18,27,29752,115898,Mortgage,3.9,0.567,26,Variable,Retired,812,0.1509,D – Substandard,978,0.394,173,Stretched
19,60,36491,192160,Mortgage,5.27,0.599,18,Fixed,Employed,648,0.1477,D – Substandard,1621,0.533,0,Stressed
20,42,35414,229777,Personal Loan,6.49,0.641,19,Fixed,Self-Employed,368,0.2479,E – Doubtful,1938,0.657,0,Stressed
21,45,40740,144332,Mortgage,3.54,0.653,11,Tracker,Public Sector,353,0.1052,D – Substandard,1217,0.358,541,Stretched
